epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,502.818,1.62055,4.27119,0.01342,0.42113,0.40592,0.37337,0.22196,1.42759,2.01032,0.01736,0.00998623,0.00332874,0.00998623,0.00332874,0.00998623,0.00332874,0.00998623,0.00332874
2,800.982,1.48954,2.08929,0.01239,0.43005,0.44037,0.38968,0.23356,1.44898,2.0189,0.018,0.0198873,0.0066291,0.0198873,0.0066291,0.0198873,0.0066291,0.0198873,0.0066291
3,1076.66,1.55862,2.11684,0.01314,0.38447,0.39064,0.319,0.17994,1.54459,2.17407,0.01994,0.0296894,0.00989645,0.0296894,0.00989645,0.0296894,0.00989645,0.0296894,0.00989645
4,1344.26,1.59283,2.16651,0.01353,0.46229,0.3869,0.38902,0.22679,1.46188,1.90153,0.01868,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1612.21,1.54306,2.03379,0.01303,0.4734,0.44483,0.42662,0.23375,1.49918,1.91498,0.01867,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1880.35,1.48613,1.91851,0.01252,0.47251,0.44381,0.43782,0.26166,1.41597,1.87786,0.01748,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2146.75,1.46341,1.88269,0.01209,0.50333,0.4818,0.47637,0.29532,1.332,1.67807,0.01618,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2413.09,1.42882,1.81279,0.01189,0.50898,0.50721,0.49478,0.29852,1.3939,1.68413,0.01714,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2677.77,1.41485,1.77539,0.01158,0.50954,0.53714,0.50069,0.31156,1.30004,1.63352,0.01624,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2943.14,1.405,1.71371,0.01155,0.51713,0.53118,0.53276,0.34475,1.27257,1.50617,0.01558,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3207.91,1.37749,1.68177,0.01122,0.53245,0.53606,0.53521,0.343,1.25811,1.47025,0.01531,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3479.69,1.3538,1.65693,0.0111,0.56217,0.51914,0.53279,0.3409,1.31327,1.5984,0.01631,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3749.62,1.3509,1.63887,0.01096,0.53978,0.53123,0.53622,0.35091,1.24608,1.48757,0.01528,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4015.9,1.3381,1.61647,0.0109,0.56035,0.57344,0.56739,0.36883,1.22853,1.43263,0.01508,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4283.01,1.32279,1.59438,0.01064,0.57721,0.54729,0.55504,0.36283,1.22759,1.43254,0.01505,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4549.65,1.31577,1.55048,0.01055,0.5918,0.55027,0.5662,0.37768,1.19295,1.41436,0.01436,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4818.37,1.29697,1.54209,0.01053,0.59743,0.51123,0.5499,0.36104,1.21119,1.57003,0.0146,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5084.38,1.3016,1.52937,0.01042,0.5284,0.57502,0.5626,0.37462,1.20285,1.45243,0.01467,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,5350.14,1.27703,1.5104,0.01018,0.56311,0.57977,0.5703,0.38027,1.19979,1.43085,0.01451,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,5616.55,1.26106,1.47319,0.01006,0.61037,0.53394,0.57778,0.38513,1.20674,1.38606,0.01495,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5880.81,1.24881,1.45596,0.0099,0.60569,0.5376,0.58351,0.39707,1.18311,1.38041,0.01433,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,6146.12,1.25326,1.43979,0.00997,0.56425,0.57258,0.58518,0.39713,1.18251,1.36688,0.01444,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,6413.47,1.25677,1.4366,0.00994,0.60801,0.57839,0.60455,0.41162,1.15802,1.32129,0.01358,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,6687.08,1.24483,1.41838,0.00991,0.57133,0.59714,0.59229,0.40087,1.15473,1.35132,0.01396,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,6960.21,1.23844,1.38636,0.00983,0.59424,0.55079,0.5713,0.38019,1.2017,1.4612,0.01467,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,7233.84,1.21991,1.36698,0.00969,0.57482,0.57745,0.58847,0.39904,1.18639,1.35492,0.01436,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,9971.94,1.22237,1.37267,0.00951,0.62071,0.54553,0.57577,0.39502,1.14826,1.39537,0.01395,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,10241.8,1.20788,1.3398,0.00952,0.60591,0.56496,0.59245,0.40454,1.15488,1.36133,0.01399,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
